term,estimate,std.error,statistic
(Intercept),1.9605323301926274,0.22196046571888212,8.832799678280029
weeks,-0.0014890891840611627,2.3643590869077108e-4,-6.298066957370283
groupintervention,0.022346100319654574,0.06530667203763801,0.34217178157196415
age,-1.6619111718532738e-4,0.003364100969878987,-0.049401346354745586
sexmale,0.0376874626354054,0.06545974376983174,0.5757349550270363
smokingTRUE,0.060619820231495,0.07087500430012668,0.8553060536658994
weeks:groupintervention,3.462576428427387e-4,3.4533674825111186e-4,1.0026666568104627
