cell_type,n_participants,estimate_logit,conf_low,conf_high,p_value,q_value
CD4_T,120,0.23576648396925276,-0.3066339102210824,0.7781668781595878,0.39105620972731703,0.8916444679669968
CD8_T,120,-0.34920042318164224,-0.8957410324155629,0.19734018605227843,0.20823578070745477,0.8916444679669968
B,120,0.05120137386431251,-0.45390325937647086,0.5563060071050959,0.8412286036977693,0.8916444679669968
NK,120,0.03914525508826801,-0.528759683561321,0.6070501937378571,0.8916444679669968,0.8916444679669968
Mono,120,0.1809827433697818,-0.4091088252976465,0.7710743120372101,0.5447306473411984,0.8916444679669968
