term,estimate,std.error,statistic,p.value,conf.low,conf.high,hr_ci
smokingTRUE,1.5202117728834128,0.2776777032144476,1.5084021675856012,0.13145162859701862,0.8821539884004228,2.6197737184228562,1.52 (0.88 to 2.62)
fev1_percent_predicted,0.9709582976723715,0.012440854028982748,-2.368949861374368,0.01783867155086038,0.9475691290560416,0.9949247890314843,0.97 (0.95 to 0.99)
therapyICS_LABA,0.8665153016018001,0.3034908070132806,-0.4720917654871925,0.636861289826183,0.47801815679894544,1.5707536570119573,0.87 (0.48 to 1.57)
therapytriple,0.5946224448444556,0.3796055648365344,-1.3693914670352292,0.1708769401175632,0.2825663590362376,1.251302006080113,0.59 (0.28 to 1.25)
age,0.9987393828577643,0.014048550914864939,-0.08978950185494934,0.9284544907979643,0.9716145893030039,1.0266214256690598,1.00 (0.97 to 1.03)
