pathway,pval,padj,ES,NES,nMoreExtreme,size,n_genes,gene_ratio
CASTOR_DE_BLOCK,1.0053282396702523e-4,5.026641198351262e-4,1,1.6898417375387418,0,80,80,1
CASTOR_NULL_SET_B,0.01818181818181818,0.045454545454545456,-0.3822122700999498,-1.4009193871030563,0,80,51,0.6375
CASTOR_BATCH_TECH,0.2692307692307692,0.3365384615384615,-0.3106227000041619,-1.1254837892025968,13,81,56,0.691358024691358
CASTOR_NULL_SET_A,0.2545454545454545,0.3365384615384615,-0.3056733189769644,-1.120381819670478,13,80,29,0.3625
CASTOR_INFLAM_AXIS,0.8352180936995154,0.8352180936995154,-0.27445152677610457,-0.8004148273682552,516,40,23,0.575
