effect,estimate,ci_low,ci_high,p_value,scale,label,display
ACME (indirect),0.017346955736157396,2.7278128093236514e-4,0.04782523187630873,0.036,average difference in predicted probability (binary outcome),Natural indirect effect (via FEV1 %),0.017 (0.000 to 0.048)
ADE (direct),0.010592418814256262,-0.02381720291478842,0.04640966638688168,0.632,average difference in predicted probability (binary outcome),Natural direct effect (not via FEV1 %),0.011 (-0.024 to 0.046)
Total effect,0.03258394229013347,-0.009863044294873363,0.07315702525196813,0.148,average difference in predicted probability (binary outcome),Total effect,0.033 (-0.010 to 0.073)
Prop. mediated,0.5323774386075473,-5.9882209211493596,6.1008349565699405,0.184,average difference in predicted probability (binary outcome),Proportion mediated,0.53 (-5.99 to 6.10)
